epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,301.092,1.47562,5.75436,0.02941,0.04753,0.22727,0.04543,0.02117,1.3064,49.5812,0.04087,0.0006633,0.0006633,0.0006633
2,631.404,1.20071,2.81127,0.02068,0.05602,0.77273,0.06721,0.04288,0.97801,20.0476,0.03093,0.00128608,0.00128608,0.00128608
